id,kategorija,podkategorija,defekt
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Prednji branik,Loše poravnanje (zazor) sa krilima/farovima
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Prednji branik,labav spoj
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Prednji branik,ogrebotine
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Prednji branik,oštećenja plastike
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Prednji branik,neispravne žabice
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Hauba,Nejednak zazor levo/desno
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Hauba,visinsko odstupanje u odnosu na krila
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Hauba,"oštećenja boje (tačke, prašina u laku)"
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Hauba,loše zatvaranje bravice.
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Hauba,buka
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Levo prednje krilo,Ogrebotine
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Levo prednje krilo,ulubljenja (kontura)
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Levo prednje krilo,loš spoj sa pragom i A-stubom.
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Desno prednje krilo,Ogrebotine
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Desno prednje krilo,ulubljenja (kontura)
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Desno prednje krilo,loš spoj sa pragom i A-stubom.
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Leva prednja vrata,"Loš zazor/poravnanje, ."
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Leva prednja vrata,zvuk škripanja pri otvaranju
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Leva prednja vrata,ogrebotine oko kvake
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Leva prednja vrata,loše nalepljena zaptivna guma (kedera)
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Desna prednja vrata,"Loš zazor/poravnanje, ."
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Desna prednja vrata,zvuk škripanja pri otvaranju
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Desna prednja vrata,ogrebotine oko kvake
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Desna prednja vrata,loše nalepljena zaptivna guma (kedera)
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Leva zadnja vrata,"Loš zazor/poravnanje, ."
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Leva zadnja vrata,zvuk škripanja pri otvaranju
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Leva zadnja vrata,ogrebotine oko kvake
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Leva zadnja vrata,loše nalepljena zaptivna guma (kedera)
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Leva zadnja vrata,provera bezbednosne brave za decu (Child lock).
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Desna zadnja vrata,Loš zazor/poravnanje
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Desna zadnja vrata,zvuk škripanja pri otvaranju
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Desna zadnja vrata,ogrebotine oko kvake
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Desna zadnja vrata,loše nalepljena zaptivna guma (kedera)
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Desna zadnja vrata,provera bezbednosne brave za decu (Child lock).
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Zadnje levo krilo,Deformacije lima
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Zadnje levo krilo,prelazi boja na spojevima
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Zadnje levo krilo,loš spoj sa C-stubom i branikom
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Zadnje desno krilo,Deformacije lima
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Zadnje desno krilo,prelazi boja na spojevima
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Zadnje desno krilo,loš spoj sa C-stubom i branikom
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Zadnje desno krilo,"poklopac rezervoara/priključka za punjenje (labavost, zazor)"
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Zadnji branik,"Loše poravnanje sa svetlima i krilima, i."
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Zadnji branik,ogrebotine pri dnu
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Zadnji branik,labavi nosač
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Poklopac gepeka,Teško zatvaranje
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Poklopac gepeka,neujednačen zazor sa svetlosnim grupama
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Poklopac gepeka,visinska odstupanja
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Poklopac gepeka,loše zaptivanje gume.
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Krov,Talasi na limu
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Krov,oštećenja boje od transporta
NTV-KAROS-001,EKSTERIJER (Karoserija i Limarija),Krov,loš spoj krovnih lajsni ili panoramskog stakla
NTV-KAROS-001,STAKLENE POVRŠINE,Vetrobran,Pukotine (zvezdice)
NTV-KAROS-001,STAKLENE POVRŠINE,Vetrobran,ogrebotine od brisača
NTV-KAROS-001,STAKLENE POVRŠINE,Vetrobran,loša aplikacija lepka (curenje vode)
NTV-KAROS-001,STAKLENE POVRŠINE,Vetrobran,fabrički mehurići u staklu.
NTV-KAROS-001,STAKLENE POVRŠINE,Bočna stakla,Ogrebotine od podizanja/spuštanja
NTV-KAROS-001,STAKLENE POVRŠINE,Bočna stakla,zazor pri zatvaranju (prolaz vazduha)
NTV-KAROS-001,STAKLENE POVRŠINE,Bočna stakla,oštećenja toniranog filma.
NTV-MOTOR-001,FUNKCIONALNE ZONE I PODVOZJE,Motorni prostor,"Nizak nivo tečnosti (ulje, rashladna, kočiona)"
NTV-MOTOR-001,FUNKCIONALNE ZONE I PODVOZJE,Motorni prostor,labave obujmice creva
NTV-MOTOR-001,FUNKCIONALNE ZONE I PODVOZJE,Motorni prostor,nepravilno rutirani kablovi
NTV-MOTOR-001,FUNKCIONALNE ZONE I PODVOZJE,Motorni prostor,nedostatak plastičnih poklopaca.
NTV-TRANS-001,FUNKCIONALNE ZONE I PODVOZJE,Podvozje,"Curenje tečnosti na spojevima (menjač, karter)"
NTV-TRANS-001,FUNKCIONALNE ZONE I PODVOZJE,Podvozje,labave zaštitne plastike (šuspleh)
NTV-TRANS-001,FUNKCIONALNE ZONE I PODVOZJE,Podvozje,korozija na spojevima
NTV-TRANS-001,FUNKCIONALNE ZONE I PODVOZJE,Podvozje,loše zategnuti elementi oslanjanja.
NTV-TRANS-001,FUNKCIONALNE ZONE I PODVOZJE,Točkovi i gume,Ogrebotine na alu-felnama
NTV-TRANS-001,FUNKCIONALNE ZONE I PODVOZJE,Točkovi i gume,pogrešan smer rotacije gume
NTV-TRANS-001,FUNKCIONALNE ZONE I PODVOZJE,Točkovi i gume,nedovoljan pritisak
NTV-TRANS-001,FUNKCIONALNE ZONE I PODVOZJE,Točkovi i gume,nedostatak kapica na ventilima.
NTV-INT-001,ENTERIJER (Kabina),Instrument tabla,"Loš zazor na spojevima plastika, ."
NTV-INT-001,ENTERIJER (Kabina),Instrument tabla,cvrčanje/škripa pri pritisku
NTV-INT-001,ENTERIJER (Kabina),Instrument tabla,ogrebotine na mekim površinama
NTV-INT-001,ENTERIJER (Kabina),Instrument tabla,loše uklopljen vazdušni jastuk suvozača
NTV-INT-001,ENTERIJER (Kabina),Centralna konzola,"Labavost naslona za ruku, ."
NTV-INT-001,ENTERIJER (Kabina),Centralna konzola,loš hod poklopaca/pregrada
NTV-INT-001,ENTERIJER (Kabina),Centralna konzola,ogrebotine na sjajnim (Piano black) površinama
NTV-INT-001,ENTERIJER (Kabina),Centralna konzola,labava ručica menjača
NTV-INT-001,ENTERIJER (Kabina),Sedište vozača,"Oštećenje šavova, ."
NTV-INT-001,ENTERIJER (Kabina),Sedište vozača,naborana koža/tkanina
