id,linija,proces,operacija,greska
1,"Preseraj","Priprema materijala","Savijanje","Pogresan radijus"
2,"Preseraj","Podesavanje alata","Probijanje","Neujednacen ugao"
3,"Preseraj","Podesavanje alata","Savijanje","Pucanje"
4,"Preseraj","Hranjenje prese","Busenje","Elasticno ugibanje"
5,"Preseraj","Oblikovanje ","Savijanje","Pogresan radijus"
6,"Preseraj","Oblikovanje ","Rezanje","Pucanje"
7,"Preseraj","Zavrsna obrada","Izvlacenje","Nabori"
8,"Preseraj","Kontrola kvaliteta","Razdvajanje","Ogrebotine"
9,"Karoserija","Podsklopovi sklapanje","Lučno zavarivanje","Loši varovi"
10,"Karoserija","Glavni sklopovi sklapanje","Tačkasto zavarivanje","Neusklađenost delova"
11,"Karoserija","Zavarivanje i spajanje","Lasersko zavarivanje","Pogrešna geometrija"
12,"Karoserija","Kontrola kvaliteta geometrije","Nanošenje lepilla","Oštećenje usled rukovanja"
13,"Karoserija","Kontrola kvaliteta","Nanošenje zaptivnih masa","Kriva ivica"
14,"Karoserija","Kontrola kvaliteta","Merenje kordinata (CMM)","Ogrebotina"
15,"Lakirnica","Zastita karoserije","Odmašćivanje karoserije","Mehurići u premazu"
16,"Lakirnica","Bojenje karoserije","Pranje karoserije","Pmorandzina kora"
17,"Lakirnica","Bojenje karoserije","Fosfatizacija","Curenje boje"
18,"Lakirnica","Bojenje karoserije","KTL","Cestice prašine u boji i laku"
19,"Lakirnica","Bojenje karoserije","Potapanje","Nedovoljna debljina premaza"
20,"Lakirnica","Bojenje karoserije","Zaptivanje šavova","Nedovoljna debljina premaza"
21,"Lakirnica","Bojenje karoserije","Osnovna boja nanošenje","Nedovoljna debljina premaza"
22,"Lakirnica","Bojenje karoserije","Lak nanošenje","Nedovoljna debljina premaza"
23,"Lakirnica","Bojenje karoserije","Pečenje i sušenje","Nedovoljna debljina premaza"
24,"Lakirnica","Bojenje karoserije","Primer nanošenje","Nedovoljna debljina premaza"
25,"Lakirnica","Bojenje karoserije","Vizuelna kontrola","Nedovoljna debljina premaza"
26,"Montaža","Kompletiranje vozila finalno","Ugradnja motora","Nedostajuči delovi"
27,"Montaža","Kompletiranje vozila finalno","Ugradnja transmisije","Pogrešna ugradnja"
28,"Montaža","Kompletiranje vozila finalno","Ugradnja hidraulike","Greške u kalibraciji softvera"
29,"Montaža","Kompletiranje vozila finalno","Ugradnja pneumatike","Oštećenje enterijera"
30,"Montaža","Kompletiranje vozila finalno","Spajanje karoserije išasije","Oštećenje spoljašnosti"
31,"Montaža","Kompletiranje vozila finalno","Ugradnja enterijera","Oštećenje spoljašnosti"
32,"Montaža","Kompletiranje vozila finalno","Ugradnja točkova","Oštećenje spoljašnosti"
33,"Montaža","Kompletiranje vozila finalno","Punjenje tečnosti","Oštećenje spoljašnosti"
34,"Montaža","Kompletiranje vozila finalno","Programiranje elektronike","Oštećenje spoljašnosti"
35,"Montaža","Kompletiranje vozila finalno","ugradnja elektro instalacije","Oštećenje spoljašnosti"
36,"Montaža","Kompletiranje vozila finalno","Postavljanje stakala","Oštećenje spoljašnosti"
37,"Montaža","Kompletiranje vozila finalno","Podešavanje zazora","Oštećenje spoljašnosti"
38,"Montaža","Kompletiranje vozila finalno","Kontrola kvaliteta","Oštećenje spoljašnosti"
39,"Ulazna kontrola","Verifikacija kvaliteta delova","Audit dobavljača","Neispravan materijal"
40,"Ulazna kontrola","Verifikacija kvaliteta materijala","Vizuelna kontrola","Pogresan deo isporučen"
41,"Ulazna kontrola","Verifikacija kvaliteta materijala","Merenje dimenzija materijala","Nedostajuća dokumetacija"
42,"Ulazna kontrola","Potvrda ispravnosti","Laboratorijsko ispitivanje","Oštećenje delova u transportu"
43,"Ulazna kontrola","Verifikacija kvaliteta materijala","Provera prateće dokumentacije","Oštećenje delova u transportu"
44,"Završna kontrola","Potvrda kvaliteta proizvoda","Vizuelni pregled","Funkcionalni kvarovi"
45,"Završna kontrola","Potvrda kvaliteta proizvoda","Test kočnica i svetala","Estetski nedostaci"
46,"Završna kontrola","Potvrda kvaliteta proizvoda","Test vodonepropustivosti","Curenje tečnosti "
47,"Završna kontrola","Potvrda kvaliteta proizvoda","Dijagnostika kvarova","Neprolazak testa vodom"
48,"Završna kontrola","Potvrda kvaliteta proizvoda","Podešavanje geometrije trapa","Neprolazak TDF testa"
49,"Završna kontrola","Potvrda kvaliteta proizvoda","TDF test","Neprolazak TDF testa"
50,"Završna kontrola","Potvrda kvaliteta proizvoda","Provera dokumentacije vozila","Neprolazak TDF testa"
51,"Završna kontrola","Potvrda kvaliteta proizvoda","PDI finalno odobrenje za transport","Neprolazak TDF testa"
52,"Logistika","Upravljanje protokom materijala","Prijem sirovina","Kašnjenje u isporuci"
53,"Logistika","Upravljanje gotovim vozilima","Unutrašnji transport","Netačan inventar"
54,"Logistika","Upravljanje gotovim vozilima","Spoljašni transport","Oštećenje delova u transportu"
55,"Logistika","Upravljanje gotovim vozilima","Snabdevanje linije materijalom","Oštećenje vozila u transportu"
56,"Logistika","Upravljanje gotovim vozilima","Priprema vozila za transport","Greške u sekvenciranju delova na liniji"
