id,kategorija,podkategorija,defekt
MRAP-EL-001,FUNKCIONALNE ZONE I PODVOZJE,Elektrika,"Greška na instrument tabli, , ,"
MRAP-EL-001,FUNKCIONALNE ZONE I PODVOZJE,Elektrika,nefunkcionalan USB/12V priključak
MRAP-EL-001,FUNKCIONALNE ZONE I PODVOZJE,Elektrika,otkaz podizača prozora
MRAP-EL-001,FUNKCIONALNE ZONE I PODVOZJE,Elektrika,problem sa audio sistemom.
MRAP-EL-001,"OSVETLJENJE, SIGNALIZACIJA I SENZORI",Rasveta,"Kondenzacija (vlaga) unutar fara/stop svetla, , ,"
MRAP-EL-001,"OSVETLJENJE, SIGNALIZACIJA I SENZORI",Rasveta,nefunkcionalna LED traka
MRAP-EL-001,"OSVETLJENJE, SIGNALIZACIJA I SENZORI",Rasveta,loš intenzitet svetla
MRAP-EL-001,"OSVETLJENJE, SIGNALIZACIJA I SENZORI",Rasveta,neispravni migavci ili maglenke.
MRAP-EL-001,"OSVETLJENJE, SIGNALIZACIJA I SENZORI",Rasveta,neispravni migavci ili maglenke.
MRAP-EL-001,"OSVETLJENJE, SIGNALIZACIJA I SENZORI",Kamere i senzori,"Labavost parking senzora (upali unutra), ,"
MRAP-EL-001,"OSVETLJENJE, SIGNALIZACIJA I SENZORI",Kamere i senzori,prljava ili izgrebana sočiva kamera (rikverc/360)
MRAP-EL-001,"OSVETLJENJE, SIGNALIZACIJA I SENZORI",Kamere i senzori,loša kalibracija radara.
