id,kategorija,podkategorija,defekt
NTV-INT-001,ENTERIJER (Kabina),Instrument tabla,"Loš zazor na spojevima plastika,, , ."
NTV-INT-001,ENTERIJER (Kabina),Instrument tabla,cvrčanje/škripa pri pritisku
NTV-INT-001,ENTERIJER (Kabina),Instrument tabla,ogrebotine na mekim površinama
NTV-INT-001,ENTERIJER (Kabina),Instrument tabla,loše uklopljen vazdušni jastuk suvozača
NTV-INT-001,ENTERIJER (Kabina),Centralna konzola,"Labavost naslona za ruku, , ,."
NTV-INT-001,ENTERIJER (Kabina),Centralna konzola,loš hod poklopaca/pregrada
NTV-INT-001,ENTERIJER (Kabina),Centralna konzola,ogrebotine na sjajnim (Piano black) površinama
NTV-INT-001,ENTERIJER (Kabina),Centralna konzola,labava ručica menjača
NTV-INT-001,ENTERIJER (Kabina),Sedište vozača,"Oštećenje šavova,, ."
NTV-INT-001,ENTERIJER (Kabina),Sedište vozača,naborana koža/tkanina
NTV-INT-001,ENTERIJER (Kabina),Sedište vozača,"neispravan mehanizam pomeranja (ručni/elektro),"
NTV-INT-001,ENTERIJER (Kabina),Sedište vozača,klimanje sedišta u šinama
NTV-INT-001,ENTERIJER (Kabina),Sedište suvozača,"Oštećenje šavova,, ."
NTV-INT-001,ENTERIJER (Kabina),Sedište suvozača,naborana koža/tkanina
NTV-INT-001,ENTERIJER (Kabina),Sedište suvozača,"neispravan mehanizam pomeranja (ručni/elektro),"
NTV-INT-001,ENTERIJER (Kabina),Sedište suvozača,klimanje sedišta u šinama
NTV-INT-001,ENTERIJER (Kabina),Zadnja sedišta,"Loše fiksiran donji deo klupe,"
NTV-INT-001,ENTERIJER (Kabina),Zadnja sedišta,"problem sa preklapanjem naslona,"
NTV-INT-001,ENTERIJER (Kabina),Zadnja sedišta,oštećenja ISOFIX priključaka.
NTV-INT-001,ENTERIJER (Kabina),Enterijer,"Oštećenja tapacirunga krova (nebo),"
NTV-INT-001,ENTERIJER (Kabina),Enterijer,"ogrebotine na oblogama stubova (A, B, C),"
NTV-INT-001,ENTERIJER (Kabina),Enterijer,"labavi rukohvati na krovu,"
NTV-INT-001,ENTERIJER (Kabina),Enterijer,loše postavljeni tepisi/patosnice.
