id,id_deo,pogon_kod,sifra_merenja,radni_nalog,faza_naziv,linija_faza,linija_id,masina_id,naziv_dela,slika,ukupno_kom,kom_za_kontrolu_n,nivo_kontrole,fai_broj_merenja,broj_merenja,pozicija,klasa,naziv_mere,nominala,usl,lsl,merni_instrument,jedinica,napomena
35,5502-A,G,7,RN-2024-002,,Masinska obrada,7,,Osovina,Osovina_SOP.jpg,100,100,,,5,Čistoća dela,Major,Čistoća dela,,,,Operater,-,Čišćenje
12,5502-A,G,3,RN-2024-002,,Masinska obrada,7,,Osovina,Osovina_SOP.jpg,100,100,,,5,Desni žljeb dužina,Major,Desni žljeb dužina,124,124.2,123.8,Šubler,mm,Podešavanje
14,5502-A,G,3,RN-2024-002,,Masinska obrada,7,,Osovina,Osovina_SOP.jpg,100,100,,,5,Desni žljeb pozicija,Major,Desni žljeb pozicija,18,18.2,17.8,Dubinomer,mm,Podešavanje
13,5502-A,G,3,RN-2024-002,,Masinska obrada,7,,Osovina,Osovina_SOP.jpg,100,100,,,5,Desni žljeb širina,Critical,Desni žljeb širina,16,,,Kalibar,mm,Podešavanje
29,5502-A,G,6,RN-2024-002,,Masinska obrada,7,,Osovina,Osovina_SOP.jpg,100,100,,,5,Faza 1.5x45°,Minor,Faza 1.5x45°,1.5,1.7,1.3,Šubler,mm,Korekcija
28,5502-A,G,6,RN-2024-002,,Masinska obrada,7,,Osovina,Osovina_SOP.jpg,100,100,,,5,Faza 1x45° desno,Minor,Faza 1x45° desno,1,1.2,0.8,Šubler,mm,Korekcija
27,5502-A,G,6,RN-2024-002,,Masinska obrada,7,,Osovina,Osovina_SOP.jpg,100,100,,,5,Faza 1x45° levo,Minor,Faza 1x45° levo,1,1.2,0.8,Šubler,mm,Korekcija
22,5502-A,G,5,RN-2024-002,,Masinska obrada,7,,Osovina,Osovina_SOP.jpg,100,100,,,5,Koncentričnost Ø47 prema A-B,Critical,Koncentričnost Ø47 prema A-B,0,0.02,,Komparator,mm,Stop proizvodnje
23,5502-A,G,5,RN-2024-002,,Masinska obrada,7,,Osovina,Osovina_SOP.jpg,100,100,,,5,Koncentričnost Ø50 prema A-B,Critical,Koncentričnost Ø50 prema A-B,0,0.02,,Komparator,mm,Stop proizvodnje
9,5502-A,G,2,RN-2024-002,,Masinska obrada,7,,Osovina,Osovina_SOP.jpg,100,100,,,5,Levi žljeb dužina,Major,Levi žljeb dužina,58,58.2,57.8,Šubler,mm,Podešavanje
11,5502-A,G,3,RN-2024-002,,Masinska obrada,7,,Osovina,Osovina_SOP.jpg,100,100,,,5,Levi žljeb pozicija,Major,Levi žljeb pozicija,11,11.2,10.8,Dubinomer,mm,Podešavanje
10,5502-A,G,2,RN-2024-002,,Masinska obrada,7,,Osovina,Osovina_SOP.jpg,100,100,,,5,Levi žljeb širina,Critical,Levi žljeb širina,12,,,Kalibar,mm,Podešavanje
8,5502-A,G,2,RN-2024-002,,Masinska obrada,7,,Osovina,Osovina_SOP.jpg,100,100,,,5,Navoj M50x2 desno,Critical,Navoj M50x2 desno,,,,Navojni prsten,-,Odbaci deo
7,5502-A,G,2,RN-2024-002,,Masinska obrada,7,,Osovina,Osovina_SOP.jpg,100,100,,,5,Navoj M50x2 levo,Critical,Navoj M50x2 levo,,,,Navojni prsten,-,Odbaci deo
6,5502-A,G,2,RN-2024-002,,Masinska obrada,7,,Osovina,Osovina_SOP.jpg,100,100,,,5,Ø42 kraj vratila,Major,Ø42 kraj vratila,42,42,41.98,Mikrometar,mm,Podešavanje
3,5502-A,G,1,RN-2024-002,,Masinska obrada,7,,Osovina,Osovina_SOP.jpg,100,100,,,5,Ø47 levi rukavac,Critical,Ø47 levi rukavac,47,47,46.981,Mikrometar,mm,Korekcija alata
4,5502-A,G,1,RN-2024-002,,Masinska obrada,7,,Osovina,Osovina_SOP.jpg,100,100,,,5,Ø50 desni rukavac,Critical,Ø50 desni rukavac,50,50,49.981,Mikrometar,mm,Korekcija alata
2,5502-A,G,1,RN-2024-002,,Masinska obrada,7,,Osovina,Osovina_SOP.jpg,100,100,,,5,Ø50 glavni rukavac,Critical,Ø50 glavni rukavac,50,50,49.981,Mikrometar,mm,Korekcija alata
5,5502-A,G,1,RN-2024-002,,Masinska obrada,7,,Osovina,Osovina_SOP.jpg,100,100,,,5,Ø68 prirubnica,Major,Ø68 prirubnica,68,68.2,67.8,Šubler,mm,Podešavanje
20,5502-A,G,4,RN-2024-002,,Masinska obrada,7,,Osovina,Osovina_SOP.jpg,100,100,,,5,Paralelnost A-B,Critical,Paralelnost A-B,0,0.05,,Komparator,mm,Stop proizvodnje
21,5502-A,G,5,RN-2024-002,,Masinska obrada,7,,Osovina,Osovina_SOP.jpg,100,100,,,5,Pravolinijskost,Critical,Pravolinijskost,0,0.05,,Komparator,mm,Stop proizvodnje
25,5502-A,G,5,RN-2024-002,,Masinska obrada,7,,Osovina,Osovina_SOP.jpg,100,100,,,5,R1 radijus desno,Minor,R1 radijus desno,1,1.2,0.8,Radius merač,mm,Korekcija
24,5502-A,G,5,RN-2024-002,,Masinska obrada,7,,Osovina,Osovina_SOP.jpg,100,100,,,5,R1 radijus levo,Minor,R1 radijus levo,1,1.2,0.8,Radius merač,mm,Korekcija
26,5502-A,G,6,RN-2024-002,,Masinska obrada,7,,Osovina,Osovina_SOP.jpg,100,100,,,5,R2 prelaz,Minor,R2 prelaz,2,2.2,1.8,Radius merač,mm,Korekcija
19,5502-A,G,4,RN-2024-002,,Masinska obrada,7,,Osovina,Osovina_SOP.jpg,100,100,,,5,Radijalno bacanje datum A-B,Critical,Radijalno bacanje datum A-B,0,0.02,,Komparator,mm,Stop proizvodnje
30,5502-A,G,6,RN-2024-002,,Masinska obrada,7,,Osovina,Osovina_SOP.jpg,100,100,,,5,Rapavost N5 glavni rukavac,Critical,Rapavost N5 glavni rukavac,,,,Rapavomer,Ra,Dorada
31,5502-A,G,7,RN-2024-002,,Masinska obrada,7,,Osovina,Osovina_SOP.jpg,100,100,,,5,Rapavost N5 rukavac,Critical,Rapavost N5 rukavac,,,,Rapavomer,Ra,Dorada
32,5502-A,G,7,RN-2024-002,,Masinska obrada,7,,Osovina,Osovina_SOP.jpg,100,100,,,5,Rapavost N6 utori,Major,Rapavost N6 utori,,,,Rapavomer,Ra,Dorada
34,5502-A,G,7,RN-2024-002,,Masinska obrada,7,,Osovina,Osovina_SOP.jpg,100,100,,,5,Srhovi uklonjeni,Major,Srhovi uklonjeni,,,,Operater,-,Dorada
1,5502-A,G,1,RN-2024-002,,Masinska obrada,7,,Osovina,Osovina_SOP.jpg,100,100,,,5,Ukupna dužina vratila,Critical,Ukupna dužina vratila,360,360.1,359.9,Šubler,mm,Zaustavi proces
18,5502-A,G,4,RN-2024-002,,Masinska obrada,7,,Osovina,Osovina_SOP.jpg,100,100,,,5,Utor A-A dubina,Major,Utor A-A dubina,6.2,6.4,6,Dubinomer,mm,Podešavanje
17,5502-A,G,4,RN-2024-002,,Masinska obrada,7,,Osovina,Osovina_SOP.jpg,100,100,,,5,Utor A-A širina,Critical,Utor A-A širina,16,,,Kalibar,mm,Podešavanje
16,5502-A,G,4,RN-2024-002,,Masinska obrada,7,,Osovina,Osovina_SOP.jpg,100,100,,,5,Utor B-B dubina,Major,Utor B-B dubina,4.9,5.1,4.7,Dubinomer,mm,Podešavanje
15,5502-A,G,3,RN-2024-002,,Masinska obrada,7,,Osovina,Osovina_SOP.jpg,100,100,,,5,Utor B-B širina,Critical,Utor B-B širina,12,,,Kalibar,mm,Podešavanje
33,5502-A,G,7,RN-2024-002,,Masinska obrada,7,,Osovina,Osovina_SOP.jpg,100,100,,,5,Vizuelna kontrola oštećenja,Major,Vizuelna kontrola oštećenja,,,,Operater,-,Sortiranje
93,DEMO-001,B,1,RN-2026-DEMO001,Laser sečenje,Preseraj,2,,Test nosač — demo,DEMO-01.png,50,50,,,5,Dužina A,Critical,Dužina A,120,120.5,119.5,Pomično merilo,mm,
99,DEMO-001,F,1,RN-2026-DEMO001-F,Završna kontrola,Završna,6,,,,,,,,5,Masa dela,Minor,Masa dela,2.5,2.7,2.3,Vaga,kg,
92,DEMO-001,A,1,RN-2026-DEMO001,Vizuelna kontrola ulazna,Ulazna kontrola,1,,Test nosač — demo,DEMO-01.png,50,50,,,,Oštećenje površine,Major,Oštećenje površine,,,,Vizuelno,mm,
95,DEMO-001,B,1,RN-2026-DEMO001-B,Laser sečenje,Preseraj,2,,Test nosač — demo,DEMO-01.png,50,50,,,5,Otvor Ø10,Critical,Otvor Ø10,10,10.1,9.9,Šubler,mm,
96,DEMO-001,B,1,RN-2026-DEMO001-B,Laser sečenje,Preseraj,2,,Test nosač — demo,DEMO-01.png,50,50,,,5,Otvor Ø6,Critical,Otvor Ø6,6,6.08,5.92,Šubler,mm,
98,DEMO-001,B,2,RN-2026-DEMO001-B,Bušenje,Preseraj,2,3,Test nosač — demo,DEMO-01.png,50,50,,,5,Pozicija rupe X,Critical,Pozicija rupe X,45,45.2,44.8,Koordinatni merni sistem,mm,
97,DEMO-001,B,1,RN-2026-DEMO001-B,Laser sečenje,Preseraj,2,,Test nosač — demo,DEMO-01.png,50,50,,,5,Radijus R5,Major,Radijus R5,5,5.2,4.8,Šablon,mm,
94,DEMO-001,B,1,RN-2026-DEMO001-B,Laser sečenje,Preseraj,2,,Test nosač — demo,DEMO-01.png,50,50,,,5,Širina B,Critical,Širina B,80,80.3,79.7,Pomično merilo,mm,
36,NM-001,A,1,RN-2026-NM001,Vizuelna kontrola ulazna,Ulazna kontrola,1,,Nosač motora,NM-01.png,100,100,,,5,Debljina lima,Major,Debljina lima,10,10.2,9.8,Mikrometar,mm,
40,NM-001,B,1,RN-2026-NM001,Laser sečenje,Preseraj,2,,Nosač motora,NM-01.png,100,100,,,5,Donji otvor,Critical,Donji otvor,160,160.1,159.9,Pomično merilo,mm,
55,NM-001,C,2,RN-2026-NM001,Geometrijska kontrola,Karoserija,3,,Nosač motora,NM-01.png,100,100,,,5,Koncentričnost rupa,Major,Koncentričnost rupa,0,0.2,0,Komparator,mm,
57,NM-001,F,1,RN-2026-NM001,Završna kontrola,Završna,6,,Nosač motora,NM-01.png,100,100,,,5,Masa dela,Major,Masa dela,2.35,2.45,2.25,Vaga,kg,
42,NM-001,B,2,RN-2026-NM001,Bušenje,Preseraj,2,3,Nosač motora,NM-01.png,100,100,,,5,Ø17 rupe (4 kom),Critical,Ø17 rupe (4 kom),17,17.2,16.8,Mikrometar,mm,
50,NM-001,B,3,RN-2026-NM001,Savijanje,Preseraj,2,1,Nosač motora,NM-01.png,100,100,,,5,Paralelnost stranica,Major,Paralelnost stranica,0,0.2,0,Komparator,mm,
53,NM-001,C,2,RN-2026-NM001,Geometrijska kontrola,Karoserija,3,,Nosač motora,NM-01.png,100,100,,,5,Paralelnost ušica,Major,Paralelnost ušica,0,0.2,0,Komparator,mm,
45,NM-001,B,2,RN-2026-NM001,Bušenje,Preseraj,2,3,Nosač motora,NM-01.png,100,100,,,5,Pozicija rupa X,Major,Pozicija rupa X,0,0.2,-0.2,Koordinatni merni sistem,mm,
46,NM-001,B,2,RN-2026-NM001,Bušenje,Preseraj,2,3,Nosač motora,NM-01.png,100,100,,,5,Pozicija rupa Y,Major,Pozicija rupa Y,0,0.2,-0.2,Koordinatni merni sistem,mm,
54,NM-001,C,2,RN-2026-NM001,Geometrijska kontrola,Karoserija,3,,Nosač motora,NM-01.png,100,100,,,5,Pravougaonost,Major,Pravougaonost,90,90.2,89.8,Uglomer,stepen,
41,NM-001,B,1,RN-2026-NM001,Laser sečenje,Preseraj,2,,Nosač motora,NM-01.png,100,100,,,5,Radijus R16,Major,Radijus R16,16,16.2,15.8,Šablon,mm,
52,NM-001,C,2,RN-2026-NM001,Geometrijska kontrola,Karoserija,3,,Nosač motora,NM-01.png,100,100,,,5,Ravnost baze,Major,Ravnost baze,0,0.2,0,Komparator,mm,
43,NM-001,B,2,RN-2026-NM001,Bušenje,Preseraj,2,3,Nosač motora,NM-01.png,100,100,,,5,Razmak rupa centar-centar,Minor,Razmak rupa centar-centar,190,190.2,189.8,Pomično merilo,mm,
44,NM-001,B,2,RN-2026-NM001,Bušenje,Preseraj,2,3,Nosač motora,NM-01.png,100,100,,,5,Simetričnost rupa,Major,Simetričnost rupa,0,0.2,-0.2,Komparator,mm,
