id,datum,smena,radni_nalog,id_deo,naziv_dela,pozicija,izmereno,status,linija,kontrolor,merni_instrument,masina
2,2026-04-21 02:00:00,1,rn-2,5502-a,osovina,ukupna duzina,360,ok,montaza,kika kon,pomicno merilo,m2
3,2026-04-21 02:00:00,1,RN-2,5502-A,Osovina,Ukupna duzina,361.0,NOK,Montaza,KIKA KON,Pomicno merilo,M2
4,2026-04-21 02:00:00,1,RN-2,5502-A,Osovina,Ukupna duzina,361.0,NOK,Montaza,KIKA KON,Pomicno merilo,M2
5,2026-04-21 02:00:00,1,RN-2,5502-A,Osovina,Ukupna duzina,361.0,NOK,Montaza,KIKA KON,Pomicno merilo,M2
6,2026-04-21 02:00:00,1,RN-2,5502-A,Osovina,Ukupna duzina,359.5,OK,Montaza,KIKA KON,Pomicno merilo,M2
7,2026-04-21 02:00:00,1,RN-2,5502-A,Osovina,Ukupna duzina,359.5,OK,Montaza,KIKA KON,Pomicno merilo,M2
8,2026-04-21 02:00:00,1,RN-2,5502-A,Osovina,Ukupna duzina,360.0,NOK,Montaza,KIKA KON,Pomicno merilo,M2
9,2026-04-21 02:00:00,1,RN-2,5502-A,Osovina,Ukupna duzina,359.0,NOK,Montaza,KIKA KON,Pomicno merilo,M2
10,2026-04-21 02:00:00,1,RN-2,5502-A,Osovina,Ukupna duzina,359.2,NOK,Montaza,KIKA KON,Pomicno merilo,M2
11,2026-04-21 02:00:00,1,RN-2,5502-A,Osovina,Ukupna duzina,359.2,NOK,Montaza,KIKA KON,Pomicno merilo,M2
12,2026-04-21 02:00:00,1,RN-2,5502-A,Osovina,Ukupna duzina,359.2,NOK,Montaza,KIKA KON,Pomicno merilo,M2
13,2026-04-21 02:00:00,1,RN-2,5502-A,Osovina,Ukupna duzina,360.0,OK,Montaza,KIKA KON,Pomicno merilo,M2
14,2026-04-21 02:00:00,1,RN-2,5502-A,Osovina,Ukupna duzina,360.0,OK,Montaza,KIKA KON,Pomicno merilo,M2
15,2026-04-21 02:00:00,1,RN-2,5502-A,Osovina,Ukupna duzina,360.0,OK,Montaza,KIKA KON,Pomicno merilo,M2
16,2026-04-21 02:00:00,1,RN-2,5502-A,Osovina,Ukupna duzina,361.0,NOK,Montaza,KIKA KON,Pomicno merilo,M2
17,2026-04-21 02:00:00,1,RN-2,5502-A,Osovina,Ukupna duzina,361.0,NOK,Montaza,KIKA KON,Pomicno merilo,M2
18,2026-04-21 02:00:00,1,RN-2,5502-A,Osovina,Ukupna duzina,360.0,OK,Montaza,KIKA KON,Pomicno merilo,M2
19,2026-04-21 02:00:00,1,RN-2,5502-A,Osovina,Ukupna duzina,360.0,OK,Montaza,KIKA KON,Pomicno merilo,M2
20,2026-04-21 02:00:00,1,RN-2,5502-A,Osovina,Ukupna duzina,360.0,OK,Montaza,KIKA KON,Pomicno merilo,M2
21,2026-04-21 02:00:00,1,RN-2,5502-A,Osovina,Ukupna duzina,360.5,OK,Montaza,KIKA KON,Pomicno merilo,M2
22,2026-04-21 02:00:00,1,RN-2,5502-A,Osovina,Ukupna duzina,360.5,OK,Montaza,KIKA KON,Pomicno merilo,M2
23,2026-04-21 02:00:00,1,RN-2,5502-A,Osovina,Ukupna duzina,360.5,OK,Montaza,KIKA KON,Pomicno merilo,M2
24,2026-04-21 02:00:00,1,RN-2,5502-A,Osovina,Ukupna duzina,361.0,NOK,Montaza,KIKA KON,Pomicno merilo,M2
25,2026-04-21 02:00:00,1,RN-2,5502-A,Osovina,Ukupna duzina,361.0,NOK,Montaza,KIKA KON,Pomicno merilo,M2
26,2026-04-21 02:00:00,1,RN-2,5502-A,Osovina,Ukupna duzina,360.0,OK,Montaza,KIKA KON,Pomicno merilo,M2
27,2026-04-21 02:00:00,1,RN-2,5502-A,Osovina,Ukupna duzina,360.0,OK,Montaza,KIKA KON,Pomicno merilo,M2
28,2026-04-21 02:00:00,1,RN-2,5502-A,Osovina,Ukupna duzina,359.0,NOK,Montaza,KIKA KON,Pomicno merilo,M2
29,2026-04-21 02:00:00,1,RN-2,5502-A,Osovina,Ukupna duzina,359.5,OK,Montaza,KIKA KON,Pomicno merilo,M2
30,2026-04-21 02:00:00,1,RN-2,5502-A,Osovina,Ukupna duzina,360.0,OK,Montaza,KIKA KON,Pomicno merilo,M2
31,2026-04-21 02:00:00,1,RN-2,5502-A,Osovina,Sirina zleba za klin,11.975,OK,Montaza,KIKA KON,Tolerancijski cep,M2
