id,kategorija,podkategorija,defekt
MRAP-INT-001,ENTERIJER (Kabina),Instrument tabla,"Loš zazor na spojevima plastika,, , ."
MRAP-INT-001,ENTERIJER (Kabina),Instrument tabla,cvrčanje/škripa pri pritisku
MRAP-INT-001,ENTERIJER (Kabina),Instrument tabla,ogrebotine na mekim površinama
MRAP-INT-001,ENTERIJER (Kabina),Instrument tabla,loše uklopljen vazdušni jastuk suvozača
MRAP-INT-001,ENTERIJER (Kabina),Centralna konzola,"Labavost naslona za ruku, , ,."
MRAP-INT-001,ENTERIJER (Kabina),Centralna konzola,loš hod poklopaca/pregrada
MRAP-INT-001,ENTERIJER (Kabina),Centralna konzola,ogrebotine na sjajnim (Piano black) površinama
MRAP-INT-001,ENTERIJER (Kabina),Centralna konzola,labava ručica menjača
MRAP-INT-001,ENTERIJER (Kabina),Sedište vozača,"Oštećenje šavova,, ."
MRAP-INT-001,ENTERIJER (Kabina),Sedište vozača,naborana koža/tkanina
MRAP-INT-001,ENTERIJER (Kabina),Sedište vozača,"neispravan mehanizam pomeranja (ručni/elektro),"
MRAP-INT-001,ENTERIJER (Kabina),Sedište vozača,klimanje sedišta u šinama
MRAP-INT-001,ENTERIJER (Kabina),Sedište suvozača,"Oštećenje šavova,, ."
MRAP-INT-001,ENTERIJER (Kabina),Sedište suvozača,naborana koža/tkanina
MRAP-INT-001,ENTERIJER (Kabina),Sedište suvozača,"neispravan mehanizam pomeranja (ručni/elektro),"
MRAP-INT-001,ENTERIJER (Kabina),Sedište suvozača,klimanje sedišta u šinama
MRAP-INT-001,ENTERIJER (Kabina),Zadnja sedišta,"Loše fiksiran donji deo klupe,"
MRAP-INT-001,ENTERIJER (Kabina),Zadnja sedišta,"problem sa preklapanjem naslona,"
MRAP-INT-001,ENTERIJER (Kabina),Zadnja sedišta,oštećenja ISOFIX priključaka.
MRAP-INT-001,ENTERIJER (Kabina),Enterijer,"Oštećenja tapacirunga krova (nebo),"
MRAP-INT-001,ENTERIJER (Kabina),Enterijer,"ogrebotine na oblogama stubova (A, B, C),"
MRAP-INT-001,ENTERIJER (Kabina),Enterijer,"labavi rukohvati na krovu,"
MRAP-INT-001,ENTERIJER (Kabina),Enterijer,loše postavljeni tepisi/patosnice.
