id,kategorija,podkategorija,defekt
MRAP1-FINAL-001,FUNKCIONALNE ZONE I PODVOZJE,Prtljažni prostor,"Labav pod gepeka, ,"
MRAP1-FINAL-001,FUNKCIONALNE ZONE I PODVOZJE,Prtljažni prostor,oštećenje bočnih tapacirunga
MRAP1-FINAL-001,FUNKCIONALNE ZONE I PODVOZJE,Prtljažni prostor,"nedostatak prateće opreme (rezervni točak/kit, dizalica),"
MRAP1-FINAL-001,FUNKCIONALNE ZONE I PODVOZJE,Prtljažni prostor,neispravno svetlo gepeka.
MRAP1-FINAL-001,FUNKCIONALNE ZONE I PODVOZJE,Funkcionalni test,"Loš odziv multimedije (ekrana na dodir), , ."
MRAP1-FINAL-001,FUNKCIONALNE ZONE I PODVOZJE,Funkcionalni test,neispravna klima/grejanje
MRAP1-FINAL-001,FUNKCIONALNE ZONE I PODVOZJE,Funkcionalni test,otkaz električne ručne kočnice
MRAP1-FINAL-001,FUNKCIONALNE ZONE I PODVOZJE,Funkcionalni test,otkaz električne ručne kočnice
MRAP1-FINAL-001,OSTALO,Ostalo,"Prljavština na vozilu,, , ."
MRAP1-FINAL-001,OSTALO,Ostalo,tragovi voska za zaštitu
MRAP1-FINAL-001,OSTALO,Ostalo,nedostajuće zaštitne folije
MRAP1-FINAL-001,OSTALO,Ostalo,nepravilna prateća dokumentacija u vozilu
