id,kategorija,podkategorija,defekt
MRAP1-INT-001,ENTERIJER (Kabina),Instrument tabla,"Loš zazor na spojevima plastika,, , ."
MRAP1-INT-001,ENTERIJER (Kabina),Instrument tabla,cvrčanje/škripa pri pritisku
MRAP1-INT-001,ENTERIJER (Kabina),Instrument tabla,ogrebotine na mekim površinama
MRAP1-INT-001,ENTERIJER (Kabina),Instrument tabla,loše uklopljen vazdušni jastuk suvozača
MRAP1-INT-001,ENTERIJER (Kabina),Centralna konzola,"Labavost naslona za ruku, , ,."
MRAP1-INT-001,ENTERIJER (Kabina),Centralna konzola,loš hod poklopaca/pregrada
MRAP1-INT-001,ENTERIJER (Kabina),Centralna konzola,ogrebotine na sjajnim (Piano black) površinama
MRAP1-INT-001,ENTERIJER (Kabina),Centralna konzola,labava ručica menjača
MRAP1-INT-001,ENTERIJER (Kabina),Sedište vozača,"Oštećenje šavova,, ."
MRAP1-INT-001,ENTERIJER (Kabina),Sedište vozača,naborana koža/tkanina
MRAP1-INT-001,ENTERIJER (Kabina),Sedište vozača,"neispravan mehanizam pomeranja (ručni/elektro),"
MRAP1-INT-001,ENTERIJER (Kabina),Sedište vozača,klimanje sedišta u šinama
MRAP1-INT-001,ENTERIJER (Kabina),Sedište suvozača,"Oštećenje šavova,, ."
MRAP1-INT-001,ENTERIJER (Kabina),Sedište suvozača,naborana koža/tkanina
MRAP1-INT-001,ENTERIJER (Kabina),Sedište suvozača,"neispravan mehanizam pomeranja (ručni/elektro),"
MRAP1-INT-001,ENTERIJER (Kabina),Sedište suvozača,klimanje sedišta u šinama
MRAP1-INT-001,ENTERIJER (Kabina),Zadnja sedišta,"Loše fiksiran donji deo klupe,"
MRAP1-INT-001,ENTERIJER (Kabina),Zadnja sedišta,"problem sa preklapanjem naslona,"
MRAP1-INT-001,ENTERIJER (Kabina),Zadnja sedišta,oštećenja ISOFIX priključaka.
MRAP1-INT-001,ENTERIJER (Kabina),Enterijer,"Oštećenja tapacirunga krova (nebo),"
MRAP1-INT-001,ENTERIJER (Kabina),Enterijer,"ogrebotine na oblogama stubova (A, B, C),"
MRAP1-INT-001,ENTERIJER (Kabina),Enterijer,"labavi rukohvati na krovu,"
MRAP1-INT-001,ENTERIJER (Kabina),Enterijer,loše postavljeni tepisi/patosnice.
